18.00,23.62,15.53,13.92,14.16,16.35,18.74,40.00,15.25,21.34,27.05,1.50,16.00,13.51
8.98,25.39,15.38,14.62,15.27,9.66,25.56,36.22,14.38,1.38,30.00,0.00,14.00,4.05
7.04,30.00,16.17,12.99,3.16,5.89,24.11,37.42,13.27,13.50,30.00,0.56,11.00,1.05
12.00,26.09,13.13,12.17,6.27,1,1.80,24.39,40.00,11.88,1.08,30.00,3.10,20.00,10.31
13.83,27.43,13.53,11.45,11.72,1,2.49,23.47,40.00,11.49,0.69,30.00,4.71,20.00,2.07
12.00,26.52,14.58,13.61,9.86,1,2.42,18.41,35.28,13.92,0.34,30.00,7.01,11.00,10.31
12.00,24.09,15.82,15.40,37.08,18.30,13.83,35.16,13.08,0.07,30.00,6.65,14.00,5.01
16.00,29.77,14.64,11.80,5.57,1,3.06,28.58,40.00,11.11,2.44,30.00,5.12,20.00,12.73
9.04,30.00,10.82,11.81,0.18,6.70,35.65,40.00,8.78,0.69,30.00,4.77,20.00,1.05
10.00,30.00,19.01,19.00,15.30,9.85,26.11,40.00,12.78,6.96,30.00,0.80,20.00,9.48
11.39,30.00,15.40,15.19,11.71,1,2.52,18.69,32.47,9.61,0.41,30.00,5.80,20.00,14.28
14.00,16.64,11.23,10.75,45.33,17.58,17.39,40.00,11.25,3.40,30.00,0.86,20.00,22.48
14.00,23.06,13.67,19.30,22.24,23.43,9.76,40.00,13.69,16.26,28.58,0.00,20.00,9.48
18.00,26.65,14.95,18.75,35.99,20.67,32.53,40.00,16.62,25.38,30.00,1.69,20.00,81.58
13.59,23.74,14.33,14.83,4.09,6.16,24.40,40.00,12.74,16.02,24.33,3.39,20.00,0.00
12.00,24.80,15.43,17.86,40.69,18.54,13.62,40.00,13.97,18.09,26.83,2.75,20.00,36.56
14.60,22.80,12.86,14.13,4.99,6.13,15.67,40.00,15.02,19.93,30.00,1.76,20.00,23.70
14.95,26.06,15.50,14.31,6.15,1,2.88,14.63,40.00,12.84,14.28,24.87,1.12,20.00,1.05
16.00,22.80,14.19,12.79,1.01,9.21,36.27,40.00,14.71,17.08,30.00,1.19,20.00,35.21
16.00,22.75,14.71,16.50,35.65,20.07,23.94,40.00,15.18,19.98,30.00,3.03,18.00,41.56
18.00,19.92,12.45,12.40,11.14,1,9.29,5.32,40.00,15.05,24.33,25.98,1.32,20.00,25.47
16.00,21.83,14.52,19.27,14.30,1,7.91,30.79,40.00,17.73,25.42,26.80,7.47,20.00,82.76
9.77,30.00,18.98,18.17,30.80,18.27,20.03,40.00,12.30,19.22,23.59,0.49,14.00,35.21
10.00,30.00,17.05,16.26,7.36,7.43,6.89,40.00,13.70,11.68,25.34,0.65,20.00,4.05
18.00,20.50,13.49,23.21,29.68,19.58,19.74,40.00,17.28,23.96,25.71,9.18,20.00,39.14
9.35,27.29,17.29,16.44,13.09,15.13,11.37,40.00,12.27,8.51,30.00,0.86,12.00,5.01
8.93,30.00,18.97,18.28,35.98,20.43,14.66,40.00,9.02,14.06,23.19,0.96,14.00,15.76
13.79,25.35,15.64,16.81,11.95,13.24,21.24,40.00,14.34,18.44,30.00,1.51,20.00,11.94
18.00,24.22,15.19,15.93,21.28,19.77,19.05,40.00,14.11,13.95,24.48,3.57,20.00,10.31
10.00,21.13,12.21,18.87,6.97,7.26,29.09,40.00,18.02,15.15,24.04,0.90,20.00,5.94
12.00,30.00,16.74,15.61,12.00,11.54,10.83,40.00,12.60,15.59,28.69,0.95,20.00,1.05
14.10,25.09,16.07,9.96,28.99,22.91,10.84,33.42,10.90,0.10,28.02,3.54,20.00,15.02
10.81,27.76,18.57,10.90,3.22,7.19,21.13,38.46,9.99,0.35,30.00,4.08,20.00,7.75
11.96,28.01,19.12,10.59,13.44,1,0.09,19.27,32.96,8.37,0.60,26.51,3.89,20.00,6.85
7.99,30.00,16.75,21.44,22.28,1,2.02,37.02,40.00,12.96,0.58,0.00,8.30,20.00,41.56
12.00,18.96,10.77,9.88,21.40,22.10,27.16,36.84,11.32,0.67,30.00,7.49,20.00,5.94
14.00,30.00,18.21,13.40,21.93,1,6.22,23.57,38.03,11.97,0.21,30.00,5.50,20.00,19.92
13.44,28.69,15.82,15.61,8.88,1,0.04,13.83,39.55,11.69,0.23,30.00,5.38,20.00,11.94
10.00,26.89,15.39,9.29,30.35,1,6.99,25.06,34.26,10.41,0.27,30.00,4.23,20.00,2.07
12.00,21.38,13.20,8.84,46.74,21.86,21.18,35.46,8.32,0.60,30.00,2.97,20.00,13.51
16.41,23.56,13.30,9.79,2.54,5.95,19.68,40.00,11.01,0.46,30.00,3.07,20.00,50.38
14.73,30.00,18.06,11.69,66.24,25.37,17.00,38.83,8.16,0.47,23.45,7.24,20.00,70.23
17.34,21.34,12.41,9.45,7.95,1,6.26,7.46,40.00,11.79,8.05,30.00,4.59,20.00,50.06
14.77,23.28,13.88,11.32,14.58,1,5.98,14.92,40.00,11.24,6.17,30.00,2.02,14.00,25.47
7.71,30.00,16.07,18.12,0.08,2.70,36.85,40.00,13.53,3.15,30.00,0.71,20.00,14.28
17.07,26.02,14.84,11.17,37.15,22.25,16.69,36.75,11.30,6.65,29.09,3.38,20.00,70.82
18.53,21.89,12.97,11.13,70.00,30.00,11.00,36.97,14.59,2.80,17.62,5.07,20.00,100.00
9.73,24.90,15.98,8.75,68.17,24.92,11.48,37.12,8.08,0.02,0.00,4.02,5.00,14.28
8.00,30.00,19.63,19.71,15.14,1,2.26,39.12,40.00,20.00,13.70,0.00,12.29,20.00,31.38
16.72,18.35,9.82,9.65,9.36,14.43,13.37,40.00,15.12,3.94,29.29,1.19,14.00,75.08
18.00,22.04,14.23,10.97,8.29,1,1.49,26.70,40.00,8.38,0.03,30.00,8.00,20.00,24.89
